,eta,lam,dim,dcg5
0,0.01,1e-06,5.0,0.4069947670045197
1,0.01,1e-06,10.0,0.4086152571064132
2,0.01,1e-06,15.0,0.4005889137774999
3,0.01,1e-06,20.0,0.3986944065422476
4,0.01,1e-06,25.0,0.39662949747265025
5,0.01,1e-06,30.0,0.3908935089044657
6,0.01,1e-06,35.0,0.3934548762980808
7,0.01,1e-06,40.0,0.385785901434026
8,0.01,1e-06,45.0,0.3949216479205663
9,0.01,1e-06,50.0,0.38974958423602435
10,0.01,1e-05,5.0,0.4110003703490503
11,0.01,1e-05,10.0,0.40533857091450964
12,0.01,1e-05,15.0,0.4033823406865579
13,0.01,1e-05,20.0,0.3882263237823335
14,0.01,1e-05,25.0,0.39151708332251656
15,0.01,1e-05,30.0,0.38543320896809297
16,0.01,1e-05,35.0,0.3850475574376926
17,0.01,1e-05,40.0,0.39422058654496683
18,0.01,1e-05,45.0,0.3922646935834544
19,0.01,1e-05,50.0,0.393953174164548
20,0.01,0.0001,5.0,0.40943569870794205
21,0.01,0.0001,10.0,0.41011980203236076
22,0.01,0.0001,15.0,0.40631124542188235
23,0.01,0.0001,20.0,0.4016570177177482
24,0.01,0.0001,25.0,0.3952324945303475
25,0.01,0.0001,30.0,0.3833613380673714
26,0.01,0.0001,35.0,0.3898386444705679
27,0.01,0.0001,40.0,0.38954001849044356
28,0.01,0.0001,45.0,0.39516601476679425
29,0.01,0.0001,50.0,0.3944740680946574
30,0.01,0.001,5.0,0.40807621910712766
31,0.01,0.001,10.0,0.41147154612254166
32,0.01,0.001,15.0,0.40138464045945726
33,0.01,0.001,20.0,0.3919231605685937
34,0.01,0.001,25.0,0.39341238039540793
35,0.01,0.001,30.0,0.38706389964181104
36,0.01,0.001,35.0,0.394488175461129
37,0.01,0.001,40.0,0.3860553962604061
38,0.01,0.001,45.0,0.3929335963497227
39,0.01,0.001,50.0,0.3996210190536103
40,0.01,0.01,5.0,0.41721187996395565
41,0.01,0.01,10.0,0.4157543738110699
42,0.01,0.01,15.0,0.4091938367712447
43,0.01,0.01,20.0,0.3986862861977818
44,0.01,0.01,25.0,0.3923248223456629
45,0.01,0.01,30.0,0.3958651116490943
46,0.01,0.01,35.0,0.3941935404820739
47,0.01,0.01,40.0,0.39889711041102793
48,0.01,0.01,45.0,0.3993315903630075
49,0.01,0.01,50.0,0.4005341471892961
50,0.01,0.1,5.0,0.40543390945185964
51,0.01,0.1,10.0,0.42333460353212743
52,0.01,0.1,15.0,0.42388437859672407
53,0.01,0.1,20.0,0.42065405841471304
54,0.01,0.1,25.0,0.42495725154812336
55,0.01,0.1,30.0,0.42816541125693586
56,0.01,0.1,35.0,0.42433883202218287
57,0.01,0.1,40.0,0.4238413663645204
58,0.01,0.1,45.0,0.42519115732266716
59,0.01,0.1,50.0,0.42831042210946185
60,0.01,1.0,5.0,0.3079226977772534
61,0.01,1.0,10.0,0.3079327485072888
62,0.01,1.0,15.0,0.3079517487075767
63,0.01,1.0,20.0,0.3079392415393447
64,0.01,1.0,25.0,0.307952925128312
65,0.01,1.0,30.0,0.307952925128312
66,0.01,1.0,35.0,0.307952925128312
67,0.01,1.0,40.0,0.307952925128312
68,0.01,1.0,45.0,0.30794154215860975
69,0.01,1.0,50.0,0.30794154215860975
