,eta,lam,dim,dcg5
0,0.01,1e-06,5.0,0.4068527024926561
1,0.01,1e-06,10.0,0.4047253829275812
2,0.01,1e-06,15.0,0.40353461057727985
3,0.01,1e-06,20.0,0.3942489809926261
4,0.01,1e-06,25.0,0.39138218304975203
5,0.01,1e-06,30.0,0.3891904673939634
6,0.01,1e-06,35.0,0.38760331987768737
7,0.01,1e-06,40.0,0.38811740995091637
8,0.01,1e-06,45.0,0.3888469478515141
9,0.01,1e-06,50.0,0.383199882884435
10,0.01,1e-05,5.0,0.40983243179185014
11,0.01,1e-05,10.0,0.404310566482505
12,0.01,1e-05,15.0,0.39999183952209794
13,0.01,1e-05,20.0,0.3943062513203112
14,0.01,1e-05,25.0,0.3937685856594157
15,0.01,1e-05,30.0,0.387221892911155
16,0.01,1e-05,35.0,0.38766065716228193
17,0.01,1e-05,40.0,0.389713700385632
18,0.01,1e-05,45.0,0.39052983038952177
19,0.01,1e-05,50.0,0.38739569448829464
20,0.01,0.0001,5.0,0.41171388710139595
21,0.01,0.0001,10.0,0.4154019842571299
22,0.01,0.0001,15.0,0.40357439494683467
23,0.01,0.0001,20.0,0.39227650142776316
24,0.01,0.0001,25.0,0.39312679829860525
25,0.01,0.0001,30.0,0.3894740197702697
26,0.01,0.0001,35.0,0.39074363113895283
27,0.01,0.0001,40.0,0.38304453624972834
28,0.01,0.0001,45.0,0.3825567454243203
29,0.01,0.0001,50.0,0.3863516582213842
30,0.01,0.001,5.0,0.4154532384312518
31,0.01,0.001,10.0,0.4193366842725071
32,0.01,0.001,15.0,0.40521435524011495
33,0.01,0.001,20.0,0.39692484632234626
34,0.01,0.001,25.0,0.3947531322365959
35,0.01,0.001,30.0,0.3925210508912174
36,0.01,0.001,35.0,0.3904557510059771
37,0.01,0.001,40.0,0.3905016316825195
38,0.01,0.001,45.0,0.3904565461996907
39,0.01,0.001,50.0,0.39067471308665475
40,0.01,0.01,5.0,0.4134897279706783
41,0.01,0.01,10.0,0.43040315362204845
42,0.01,0.01,15.0,0.4289358288712323
43,0.01,0.01,20.0,0.4231920813280014
44,0.01,0.01,25.0,0.429550079568231
45,0.01,0.01,30.0,0.42729074524222804
46,0.01,0.01,35.0,0.4266265015960246
47,0.01,0.01,40.0,0.4311444596817455
48,0.01,0.01,45.0,0.42482279864907974
49,0.01,0.01,50.0,0.4330987251627976
50,0.01,0.1,5.0,0.31984301142987326
51,0.01,0.1,10.0,0.32094504178208616
52,0.01,0.1,15.0,0.3195710147556208
53,0.01,0.1,20.0,0.3207108673957482
54,0.01,0.1,25.0,0.31921959385613335
55,0.01,0.1,30.0,0.32143899375040624
56,0.01,0.1,35.0,0.3211853263813542
57,0.01,0.1,40.0,0.32075106968535
58,0.01,0.1,45.0,0.31867502155292016
59,0.01,0.1,50.0,0.31896799105464146
60,0.01,1.0,5.0,0.30719927590621915
61,0.01,1.0,10.0,0.30719927590621915
62,0.01,1.0,15.0,0.30719927590621915
63,0.01,1.0,20.0,0.30719927590621915
64,0.01,1.0,25.0,0.30719927590621915
65,0.01,1.0,30.0,0.30719927590621915
66,0.01,1.0,35.0,0.30719927590621915
67,0.01,1.0,40.0,0.30719927590621915
68,0.01,1.0,45.0,0.30719927590621915
69,0.01,1.0,50.0,0.30719927590621915
