,eta,lam,dim,dcg5
0,0.01,1e-06,5.0,0.4645226428994889
1,0.01,1e-06,10.0,0.4723481971505661
2,0.01,1e-06,15.0,0.45937134335144114
3,0.01,1e-06,20.0,0.453707308899495
4,0.01,1e-06,25.0,0.4507492976391871
5,0.01,1e-06,30.0,0.45336082324854365
6,0.01,1e-06,35.0,0.4522395012216083
7,0.01,1e-06,40.0,0.4512844927122505
8,0.01,1e-06,45.0,0.4583528017356423
9,0.01,1e-06,50.0,0.4576517342648361
10,0.01,1e-05,5.0,0.4608172352360574
11,0.01,1e-05,10.0,0.47319513063806
12,0.01,1e-05,15.0,0.46168663018214806
13,0.01,1e-05,20.0,0.4572202561270831
14,0.01,1e-05,25.0,0.4547800248402979
15,0.01,1e-05,30.0,0.45031403910368323
16,0.01,1e-05,35.0,0.4553162383660588
17,0.01,1e-05,40.0,0.45536975693635673
18,0.01,1e-05,45.0,0.45412213734837725
19,0.01,1e-05,50.0,0.4560387273558811
20,0.01,0.0001,5.0,0.46708844407776756
21,0.01,0.0001,10.0,0.47374095051570675
22,0.01,0.0001,15.0,0.4638191469078679
23,0.01,0.0001,20.0,0.45647235790390966
24,0.01,0.0001,25.0,0.4582726046932445
25,0.01,0.0001,30.0,0.4549126220865927
26,0.01,0.0001,35.0,0.4581479710956666
27,0.01,0.0001,40.0,0.45303624491555633
28,0.01,0.0001,45.0,0.4574138025669259
29,0.01,0.0001,50.0,0.4592629235392018
30,0.01,0.001,5.0,0.4636751252955244
31,0.01,0.001,10.0,0.4701861288290726
32,0.01,0.001,15.0,0.46924310230498234
33,0.01,0.001,20.0,0.4711552023909634
34,0.01,0.001,25.0,0.47128006307757625
35,0.01,0.001,30.0,0.4729596310389132
36,0.01,0.001,35.0,0.4752377475908377
37,0.01,0.001,40.0,0.4724437687399657
38,0.01,0.001,45.0,0.4740849181193562
39,0.01,0.001,50.0,0.47468364266647733
40,0.01,0.01,5.0,0.4217788124759427
41,0.01,0.01,10.0,0.4253724889290758
42,0.01,0.01,15.0,0.4271254919645435
43,0.01,0.01,20.0,0.42854970676216114
44,0.01,0.01,25.0,0.42728307707553237
45,0.01,0.01,30.0,0.4315710041739434
46,0.01,0.01,35.0,0.4295669162309379
47,0.01,0.01,40.0,0.43225262169923345
48,0.01,0.01,45.0,0.43077532457523554
49,0.01,0.01,50.0,0.4298447078759522
50,0.01,0.1,5.0,0.34996374031052724
51,0.01,0.1,10.0,0.34996374031052724
52,0.01,0.1,15.0,0.34996374031052724
53,0.01,0.1,20.0,0.34996374031052724
54,0.01,0.1,25.0,0.34996374031052724
55,0.01,0.1,30.0,0.34996374031052724
56,0.01,0.1,35.0,0.34996374031052724
57,0.01,0.1,40.0,0.34996374031052724
58,0.01,0.1,45.0,0.34996374031052724
59,0.01,0.1,50.0,0.34996374031052724
60,0.01,1.0,5.0,0.3499903834796278
61,0.01,1.0,10.0,0.3499903834796278
62,0.01,1.0,15.0,0.3499903834796278
63,0.01,1.0,20.0,0.3499903834796278
64,0.01,1.0,25.0,0.3499903834796278
65,0.01,1.0,30.0,0.3499903834796278
66,0.01,1.0,35.0,0.3499903834796278
67,0.01,1.0,40.0,0.3499903834796278
68,0.01,1.0,45.0,0.3499903834796278
69,0.01,1.0,50.0,0.3499903834796278
