vault_id,group_id,imp_dram_a_read,imp_dram_b_read,imp_dram_c_read,imp_dram_c_write,imp_sram_a_read,imp_sram_b_read,imp_sram_a_write,imp_sram_b_write,imp_num_mac_op,imp_end_time
0,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27826
0,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30091
1,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27959
1,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,29771
2,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27947
2,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,29954
3,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27896
3,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,29357
4,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27857
4,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,29739
5,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27980
5,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30109
6,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27899
6,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30115
7,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27845
7,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,29951
8,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,28010
8,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,29726
9,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27947
9,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30169
10,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27965
10,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30169
11,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27878
11,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30017
12,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27956
12,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30214
13,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27833
13,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30119
14,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27869
14,1,72192,4096,286720,286720,107520,286720,72192,4096,71680,30167
15,0,72192,4096,286720,286720,107520,286720,72192,4096,71680,27188
15,1,61952,4096,245760,245760,92160,245760,61952,4096,61440,18329
