version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
0,3115,3115,3551,6,IRMCR2_20170407_01.csv,IRMCR2_20161115_05.csv
1,1165,1165,1601,6,IRMCR2_20170407_01.csv,IRMCR2_20160516_01.csv
2,737,737,1173,6,IRMCR2_20170407_01.csv,IRMCR2_20170327_01.csv
3,12770,12770,12770,-1,
4,1901,1901,2337,6,IRMCR2_20170407_01.csv,IRMCR2_20161117_06.csv
5,1858,1858,2294,6,IRMCR2_20170407_01.csv,IRMCR2_20150411_01.csv
6,436,436,436,-1,
7,1501,1501,1937,6,IRMCR2_20170407_01.csv,IRMCR2_20180418_04.csv
8,1369,1369,1805,6,IRMCR2_20170407_01.csv,IRMCR2_20171130_01.csv
9,3197,3197,3633,6,IRMCR2_20170407_01.csv,IRMCR2_20181111_01.csv
10,93,93,93,-1,
11,799,1160,1171,12,IRMCR2_20171204_02.csv,IRMCR2_20161111_04.csv
12,11,11,11,-1,
13,1206,1206,1217,12,IRMCR2_20171204_02.csv,IRMCR2_20181103_01.csv
14,16421,16421,16421,-1,
15,39,103,114,12,IRMCR2_20171204_02.csv,IRMCR2_20141111_07.csv
16,306,1063,1074,12,IRMCR2_20171204_02.csv,IRMCR2_20150411_05.csv
17,19785,19785,19785,-1,
18,1026,1301,1312,12,IRMCR2_20171204_02.csv,IRMCR2_20141111_08.csv
19,1128,1128,1139,12,IRMCR2_20171204_02.csv,IRMCR2_20150512_05.csv
20,1268,1268,1268,-1,
21,317,888,1474,29,IRMCR2_20141122_03.csv,IRMCR2_20161105_04.csv
22,833,833,833,-1,
23,816,816,1402,29,IRMCR2_20141122_03.csv,IRMCR2_20150413_01.csv
24,821,821,1407,29,IRMCR2_20141122_03.csv,IRMCR2_20161028_05.csv
25,15864,15864,15864,-1,
26,7484,7484,7484,-1,
27,3999,3999,4585,29,IRMCR2_20141122_03.csv,IRMCR2_20171214_05.csv
28,3168,3168,3754,29,IRMCR2_20141122_03.csv,IRMCR2_20171031_03.csv
29,586,586,586,-1,
30,5482,5482,5482,-1,
31,3380,3380,3452,33,IRMCR2_20141029_02.csv,IRMCR2_20161111_05.csv
32,885,1129,1201,33,IRMCR2_20141029_02.csv,IRMCR2_20141122_08.csv
33,72,72,72,-1,
34,1047,1604,1676,33,IRMCR2_20141029_02.csv,IRMCR2_20170403_01.csv
35,145,145,145,-1,
36,159,423,495,33,IRMCR2_20141029_02.csv,IRMCR2_20150410_08.csv
37,838,1307,1379,33,IRMCR2_20141029_02.csv,IRMCR2_20170322_05.csv
38,17748,17748,17748,-1,
39,520,1706,1778,33,IRMCR2_20141029_02.csv,IRMCR2_20161031_04.csv
40,14376,14376,14376,-1,
41,3828,3828,3974,45,IRMCR2_20161107_03.csv,IRMCR2_20160516_03.csv
42,9093,9093,9093,-1,
43,659,659,805,45,IRMCR2_20161107_03.csv,IRMCR2_20141102_14.csv
44,1249,1249,1395,45,IRMCR2_20161107_03.csv,IRMCR2_20150507_08.csv
45,146,146,146,-1,
46,130,412,558,45,IRMCR2_20161107_03.csv,IRMCR2_20161104_06.csv
47,1608,1608,1754,45,IRMCR2_20161107_03.csv,IRMCR2_20180418_06.csv
48,190,217,363,45,IRMCR2_20161107_03.csv,IRMCR2_20150424_04.csv
49,217,435,581,45,IRMCR2_20161107_03.csv,IRMCR2_20161104_03.csv
50,16187,16187,16187,-1,
51,171,171,248,56,IRMCR2_20141029_01.csv,IRMCR2_20161118_04.csv
52,2757,2757,2834,56,IRMCR2_20141029_01.csv,IRMCR2_20161107_04.csv
53,1332,1332,1409,56,IRMCR2_20141029_01.csv,IRMCR2_20150408_02.csv
54,17259,17259,17259,-1,
55,2696,2696,2773,56,IRMCR2_20141029_01.csv,IRMCR2_20181109_01.csv
56,77,77,77,-1,
57,793,1938,2015,56,IRMCR2_20141029_01.csv,IRMCR2_20161031_07.csv
58,2676,2676,2753,56,IRMCR2_20141029_01.csv,IRMCR2_20181018_01.csv
59,1618,1618,1695,56,IRMCR2_20141029_01.csv,IRMCR2_20170426_02.csv
60,14243,14243,14243,-1,
61,278,782,940,62,IRMCR2_20141115_02.csv,IRMCR2_20150424_07.csv
62,158,158,158,-1,
63,939,1065,1223,62,IRMCR2_20141115_02.csv,IRMCR2_20171204_06.csv
64,2240,2240,2398,62,IRMCR2_20141115_02.csv,IRMCR2_20170501_03.csv
65,2131,2131,2289,62,IRMCR2_20141115_02.csv,IRMCR2_20150410_07.csv
66,360,360,518,62,IRMCR2_20141115_02.csv,IRMCR2_20180404_02.csv
67,2005,2005,2163,62,IRMCR2_20141115_02.csv,IRMCR2_20150423_02.csv
68,1136,1136,1294,62,IRMCR2_20141115_02.csv,IRMCR2_20150410_01.csv
69,657,1944,2102,62,IRMCR2_20141115_02.csv,IRMCR2_20160513_01.csv
70,2412,2412,2412,-1,
71,18194,18194,18194,-1,
72,50,50,50,-1,
73,2709,2709,2759,72,IRMCR2_20150410_02.csv,IRMCR2_20170428_03.csv
74,599,599,649,72,IRMCR2_20150410_02.csv,IRMCR2_20161102_08.csv
75,801,1651,1701,72,IRMCR2_20150410_02.csv,IRMCR2_20141121_07.csv
76,62,62,62,-1,
77,177,510,560,72,IRMCR2_20150410_02.csv,IRMCR2_20160511_02.csv
78,544,544,594,72,IRMCR2_20150410_02.csv,IRMCR2_20141115_08.csv
79,436,1293,1343,72,IRMCR2_20150410_02.csv,IRMCR2_20160509_06.csv
80,363,363,363,-1,
81,6959,6959,6959,-1,
82,2768,2768,2982,86,IRMCR2_20160509_08.csv,IRMCR2_20181104_01.csv
83,3774,3774,3988,86,IRMCR2_20160509_08.csv,IRMCR2_20181116_02.csv
84,234,234,448,86,IRMCR2_20160509_08.csv,IRMCR2_20161031_05.csv
85,538,1118,1332,86,IRMCR2_20160509_08.csv,IRMCR2_20150511_03.csv
86,214,214,214,-1,
87,2210,2210,2424,86,IRMCR2_20160509_08.csv,IRMCR2_20141108_03.csv
88,9375,9375,9375,-1,
89,1278,1278,1492,86,IRMCR2_20160509_08.csv,IRMCR2_20181030_01.csv
90,3794,3794,3794,-1,
91,18582,18582,18582,-1,
92,24,24,24,-1,
93,1695,1695,1719,92,IRMCR2_20170426_04.csv,IRMCR2_20171205_03.csv
94,1080,1080,1104,92,IRMCR2_20170426_04.csv,IRMCR2_20150408_03.csv
95,2075,2075,2099,92,IRMCR2_20170426_04.csv,IRMCR2_20161031_06.csv
96,2319,2319,2343,92,IRMCR2_20170426_04.csv,IRMCR2_20161026_03.csv
97,3159,3159,3183,92,IRMCR2_20170426_04.csv,IRMCR2_20171112_03.csv
98,2210,2210,2234,92,IRMCR2_20170426_04.csv,IRMCR2_20160519_03.csv
99,971,971,995,92,IRMCR2_20170426_04.csv,IRMCR2_20150420_04.csv
100,19785,19785,19785,-1,
101,39,39,39,-1,
102,28,28,28,-1,
103,393,393,421,102,IRMCR2_20150420_09.csv,IRMCR2_20141106_05.csv
104,1664,1696,1724,102,IRMCR2_20150420_09.csv,IRMCR2_20171202_01.csv
105,533,1457,1485,102,IRMCR2_20150420_09.csv,IRMCR2_20150423_05.csv
106,1015,2732,2760,102,IRMCR2_20150420_09.csv,IRMCR2_20141122_04.csv
107,24,67,95,102,IRMCR2_20150420_09.csv,IRMCR2_20150409_07.csv
108,1761,1761,1800,101,IRMCR2_20141110_04.csv,IRMCR2_20150409_04.csv
109,44,128,156,102,IRMCR2_20150420_09.csv,IRMCR2_20171121_04.csv
110,11154,11154,11154,-1,
111,10625,10625,10625,-1,
