version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
0,87,87,87,-1,
1,32,73,160,0,ILATM2_20191110_025300_smooth_nadir3seg_50pt.csv,ILATM2_20191114_024000_smooth_nadir3seg_50pt.csv
2,31,47,134,0,ILATM2_20191110_025300_smooth_nadir3seg_50pt.csv,ILATM2_20191109_012200_smooth_nadir3seg_50pt.csv
3,29,53,187,2,ILATM2_20191109_012200_smooth_nadir3seg_50pt.csv,ILATM2_20191120_031500_smooth_nadir3seg_50pt.csv
4,30,40,127,0,ILATM2_20191110_025300_smooth_nadir3seg_50pt.csv,ILATM2_20191110_014000_smooth_nadir3seg_50pt.csv
5,31,59,146,0,ILATM2_20191110_025300_smooth_nadir3seg_50pt.csv,ILATM2_20191119_022800_smooth_nadir3seg_50pt.csv
6,30,57,144,0,ILATM2_20191110_025300_smooth_nadir3seg_50pt.csv,ILATM2_20191118_030200_smooth_nadir3seg_50pt.csv
7,29,46,133,0,ILATM2_20191110_025300_smooth_nadir3seg_50pt.csv,ILATM2_20191110_013600_smooth_nadir3seg_50pt.csv
8,29,52,179,4,ILATM2_20191110_014000_smooth_nadir3seg_50pt.csv,ILATM2_20191110_011900_smooth_nadir3seg_50pt.csv
9,31,57,191,2,ILATM2_20191109_012200_smooth_nadir3seg_50pt.csv,ILATM2_20191119_035500_smooth_nadir3seg_50pt.csv
10,28,37,228,9,ILATM2_20191119_035500_smooth_nadir3seg_50pt.csv,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv
11,25,43,271,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191110_003000_smooth_nadir3seg_50pt.csv
12,28,29,257,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191120_014500_smooth_nadir3seg_50pt.csv
13,30,51,279,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191117_023200_smooth_nadir3seg_50pt.csv
14,30,74,302,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191117_021600_smooth_nadir3seg_50pt.csv
15,29,46,274,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191120_040000_smooth_nadir3seg_50pt.csv
16,26,49,277,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191110_003100_smooth_nadir3seg_50pt.csv
17,29,58,286,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191120_022000_smooth_nadir3seg_50pt.csv
18,30,68,296,10,ILATM2_20191118_034700_smooth_nadir3seg_50pt.csv,ILATM2_20191109_012000_smooth_nadir3seg_50pt.csv
19,29,39,296,12,ILATM2_20191120_014500_smooth_nadir3seg_50pt.csv,ILATM2_20191109_004400_smooth_nadir3seg_50pt.csv
20,29,78,374,19,ILATM2_20191109_004400_smooth_nadir3seg_50pt.csv,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv
21,29,70,444,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191120_033200_smooth_nadir3seg_50pt.csv
22,22,43,417,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191110_012900_smooth_nadir3seg_50pt.csv
23,29,47,421,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191117_031600_smooth_nadir3seg_50pt.csv
24,22,43,417,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191114_025400_smooth_nadir3seg_50pt.csv
25,29,70,444,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191120_012800_smooth_nadir3seg_50pt.csv
26,28,39,413,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191118_020300_smooth_nadir3seg_50pt.csv
27,29,67,511,25,ILATM2_20191120_012800_smooth_nadir3seg_50pt.csv,ILATM2_20191117_032900_smooth_nadir3seg_50pt.csv
28,29,66,440,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191110_000500_smooth_nadir3seg_50pt.csv
29,28,28,402,20,ILATM2_20191118_024400_smooth_nadir3seg_50pt.csv,ILATM2_20191120_021200_smooth_nadir3seg_50pt.csv
30,33,74,476,29,ILATM2_20191120_021200_smooth_nadir3seg_50pt.csv,ILATM2_20191115_030400_smooth_nadir3seg_50pt.csv
31,30,45,521,30,ILATM2_20191115_030400_smooth_nadir3seg_50pt.csv,ILATM2_20191119_023300_smooth_nadir3seg_50pt.csv
32,25,55,531,30,ILATM2_20191115_030400_smooth_nadir3seg_50pt.csv,ILATM2_20191120_030600_smooth_nadir3seg_50pt.csv
33,30,43,564,31,ILATM2_20191119_023300_smooth_nadir3seg_50pt.csv,ILATM2_20191119_024900_smooth_nadir3seg_50pt.csv
34,30,43,519,30,ILATM2_20191115_030400_smooth_nadir3seg_50pt.csv,ILATM2_20191118_024800_smooth_nadir3seg_50pt.csv
35,23,47,523,30,ILATM2_20191115_030400_smooth_nadir3seg_50pt.csv,ILATM2_20191110_010000_smooth_nadir3seg_50pt.csv
36,18,25,501,30,ILATM2_20191115_030400_smooth_nadir3seg_50pt.csv,ILATM2_20191119_013700_smooth_nadir3seg_50pt.csv
37,29,77,598,31,ILATM2_20191119_023300_smooth_nadir3seg_50pt.csv,ILATM2_20191117_015200_smooth_nadir3seg_50pt.csv
