version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
0,1503,1503,1503,-1,
1,764,1096,2599,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39206_D_20220604T074731_R18290_001.h5
2,767,941,2444,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39096_A_20220527T182901_R18290_001.h5
3,790,1132,2635,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39489_D_20220623T161337_R18290_001.h5
4,768,1086,2589,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39227_D_20220605T181509_R18290_001.h5
5,1020,1349,2852,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39178_D_20220602T095200_R18290_001.h5
6,832,1188,2691,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39476_A_20220622T180421_R18290_001.h5
7,1299,1663,3166,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39247_D_20220607T030417_R18290_001.h5
8,1005,1033,2536,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39185_D_20220602T212111_R18290_001.h5
9,1069,1133,2636,0,SMAP_L2_SM_P_39384_A_20220616T110532_R18290_001.h5,SMAP_L2_SM_P_39558_D_20220628T092740_R18290_001.h5
10,777,871,3507,9,SMAP_L2_SM_P_39558_D_20220628T092740_R18290_001.h5,SMAP_L2_SM_P_39422_A_20220619T012705_R18290_001.h5
11,1303,1428,4935,10,SMAP_L2_SM_P_39422_A_20220619T012705_R18290_001.h5,SMAP_L2_SM_P_39364_D_20220615T030336_R18290_001.h5
12,1179,1527,5034,10,SMAP_L2_SM_P_39422_A_20220619T012705_R18290_001.h5,SMAP_L2_SM_P_39222_A_20220605T091338_R18290_001.h5
