version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
0,2137,2137,2137,-1,
1,88,1551,3688,0,NISE_SSMISF18_20191208.HDFEOS,NISE_SSMISF18_20200206.HDFEOS
2,88,988,4676,1,NISE_SSMISF18_20200206.HDFEOS,NISE_SSMISF18_20210131.HDFEOS
3,85,582,4270,1,NISE_SSMISF18_20200206.HDFEOS,NISE_SSMISF18_20220310.HDFEOS
4,90,1047,4735,1,NISE_SSMISF18_20200206.HDFEOS,NISE_SSMISF18_20210416.HDFEOS
5,106,831,5566,4,NISE_SSMISF18_20210416.HDFEOS,NISE_SSMISF18_20210223.HDFEOS
6,100,156,2293,0,NISE_SSMISF18_20191208.HDFEOS,NISE_SSMISF18_20211019.HDFEOS
7,98,1934,4227,6,NISE_SSMISF18_20211019.HDFEOS,NISE_SSMISF18_20210728.HDFEOS
8,94,146,4373,7,NISE_SSMISF18_20210728.HDFEOS,NISE_SSMISF18_20191011.HDFEOS
9,92,1658,5885,7,NISE_SSMISF18_20210728.HDFEOS,NISE_SSMISF18_20200626.HDFEOS
10,89,620,6505,9,NISE_SSMISF18_20200626.HDFEOS,NISE_SSMISF18_20200116.HDFEOS
11,97,1138,7643,10,NISE_SSMISF18_20200116.HDFEOS,NISE_SSMISF18_20211122.HDFEOS
12,87,201,6706,10,NISE_SSMISF18_20200116.HDFEOS,NISE_SSMISF18_20220215.HDFEOS
13,90,2013,8518,10,NISE_SSMISF18_20200116.HDFEOS,NISE_SSMISF18_20210116.HDFEOS
14,102,1894,8399,10,NISE_SSMISF18_20200116.HDFEOS,NISE_SSMISF18_20210821.HDFEOS
15,90,1427,9826,14,NISE_SSMISF18_20210821.HDFEOS,NISE_SSMISF18_20190922.HDFEOS
16,101,1349,7854,10,NISE_SSMISF18_20200116.HDFEOS,NISE_SSMISF18_20201204.HDFEOS
17,89,211,8610,14,NISE_SSMISF18_20210821.HDFEOS,NISE_SSMISF18_20200817.HDFEOS
18,89,159,8769,17,NISE_SSMISF18_20200817.HDFEOS,NISE_SSMISF18_20200917.HDFEOS
19,91,1309,7814,10,NISE_SSMISF18_20200116.HDFEOS,NISE_SSMISF18_20200330.HDFEOS
20,97,1346,9160,19,NISE_SSMISF18_20200330.HDFEOS,NISE_SSMISF18_20210719.HDFEOS
21,92,809,9969,20,NISE_SSMISF18_20210719.HDFEOS,NISE_SSMISF18_20200810.HDFEOS
22,99,464,9624,20,NISE_SSMISF18_20210719.HDFEOS,NISE_SSMISF18_20211201.HDFEOS
23,90,1128,10288,20,NISE_SSMISF18_20210719.HDFEOS,NISE_SSMISF18_20220506.HDFEOS
24,95,1074,10234,20,NISE_SSMISF18_20210719.HDFEOS,NISE_SSMISF18_20191012.HDFEOS
25,91,1362,11650,23,NISE_SSMISF18_20220506.HDFEOS,NISE_SSMISF18_20200507.HDFEOS
