area(wards,Boroughs) KBIfraction originalfration
E05000106 0.534482758621 0.4426
E05000107 0.592105263158 0.647
E05000108 0.575221238938 0.5278
E05000109 0.592307692308 0.4266
E05000110 0.594594594595 0.5408
E05000111 0.637931034483 0.4711
E05000112 0.512605042017 0.3954
E05000113 0.581395348837 0.4173
E05000114 0.605263157895 0.6459
E05000115 0.578512396694 0.6471
E05000116 0.6 0.3505
E05000117 0.7 0.646
E05000118 0.669642857143 0.5423
E05000119 0.591666666667 0.5227
E05000120 0.558333333333 0.4687
E05000121 0.452054794521 0.5857
E05000122 0.559322033898 0.5817
E05000123 0.515384615385 0.3782
E05000124 0.566037735849 0.4908
E05000125 0.560344827586 0.4604
E05000126 0.605263157895 0.4687
E05000127 0.580357142857 0.498
E05000128 0.564356435644 0.2258
E05000129 0.484848484848 0.2694
E05000130 0.572815533981 0.2421
E05000131 0.5 0.2175
E05000132 0.447916666667 0.2029
E05000133 0.494736842105 0.2082
E05000134 0.511627906977 0.2839
E05000135 0.544444444444 0.2027
E05000136 0.484210526316 0.2911
E05000137 0.488372093023 0.2294
E05000138 0.472727272727 0.3054
E05000139 0.5 0.2074
E05000140 0.552083333333 0.298
E05000141 0.484536082474 0.2525
E05000142 0.504587155963 0.3198
E05000143 0.5 0.3337
E05000144 0.528846153846 0.2203
E05000145 0.558823529412 0.2157
E05000146 0.465648854962 0.4393
E05000147 0.666666666667 0.5
E05000148 0.564102564103 0.4919
E05000149 0.526717557252 0.4197
E05000150 0.585106382979 0.5354
E05000151 0.564356435644 0.4077
E05000152 0.604838709677 0.4732
E05000153 0.541984732824 0.456
E05000154 0.534246575342 0.6201
E05000155 0.584158415842 0.5218
E05000156 0.575221238938 0.4788
E05000157 0.613333333333 0.648
E05000158 0.604838709677 0.3712
E05000159 0.535714285714 0.4131
E05000160 0.628865979381 0.4803
E05000161 0.53488372093 0.5232
E05000162 0.623655913978 0.4233
E05000163 0.626168224299 0.4986
E05000164 0.548387096774 0.3391
E05000165 0.564102564103 0.3791
E05000166 0.520661157025 0.3387
E05000167 0.515873015873 0.454
E05000168 0.487804878049 0.4345
E05000169 0.512605042017 0.4066
E05000170 0.483050847458 0.3219
E05000171 0.527777777778 0.3022
E05000172 0.509803921569 0.4699
E05000173 0.547826086957 0.2613
E05000174 0.570175438596 0.3041
E05000175 0.451388888889 0.3299
E05000176 0.544642857143 0.3437
E05000177 0.5546875 0.5037
E05000178 0.518518518519 0.4734
E05000179 0.512396694215 0.2922
E05000180 0.548076923077 0.3998
E05000181 0.495238095238 0.4729
E05000183 0.642857142857 0.5062
E05000182 0.556603773585 0.2875
E05000184 0.427272727273 0.4929
E05000185 0.509433962264 0.5332
E05000186 0.495238095238 0.4234
E05000187 0.504273504274 0.4623
E05000188 0.469026548673 0.314
E05000189 0.5 0.4948
E05000190 0.560747663551 0.4906
E05000191 0.598130841121 0.2411
E05000192 0.571428571429 0.281
E05000193 0.45045045045 0.3458
E05000194 0.638888888889 0.4255
E05000195 0.539215686275 0.5071
E05000196 0.678899082569 0.4089
E05000197 0.553719008264 0.453
E05000198 0.576576576577 0.5052
E05000199 0.482142857143 0.4968
E05000200 0.6 0.4141
E05000201 0.5 0.4389
E05000202 0.601941747573 0.4687
E05000203 0.582524271845 0.5013
E05000204 0.517857142857 0.4823
E05000205 0.538461538462 0.3602
E05000206 0.596330275229 0.454
E05000207 0.539215686275 0.4807
E05000208 0.571428571429 0.3824
E05000209 0.722222222222 0.3658
E05000210 0.53982300885 0.4628
E05000211 0.53 0.5318
E05000212 0.520661157025 0.4393
E05000213 0.605769230769 0.3676
E05000214 0.532110091743 0.5423
E05000215 0.625 0.2945
E05000216 0.560747663551 0.4141
E05000217 0.50495049505 0.5791
E05000218 0.659793814433 0.5174
E05000219 0.58 0.5569
E05000220 0.565789473684 0.56
E05000221 0.533834586466 0.4594
E05000222 0.564885496183 0.2365
E05000223 0.518518518519 0.4811
E05000224 0.54 0.4923
E05000225 0.517857142857 0.309
E05000226 0.528925619835 0.5063
E05000227 0.564356435644 0.4411
E05000228 0.514925373134 0.4459
E05000229 0.479338842975 0.3892
E05000230 0.589928057554 0.4051
E05000266 0.511363636364 0.1973
E05000267 0.542056074766 0.3904
E05000268 0.5 0.1919
E05000269 0.564356435644 0.2732
E05000270 0.585106382979 0.28
E05000271 0.504587155963 0.2437
E05000272 0.578947368421 0.1646
E05000273 0.565656565657 0.3386
E05000274 0.682352941176 0.1899
E05000275 0.598130841121 0.2613
E05000276 0.565656565657 0.1503
E05000278 0.558558558559 0.3017
E05000277 0.614035087719 0.3755
E05000279 0.478723404255 0.1891
E05000280 0.486486486486 0.2056
E05000281 0.587155963303 0.1553
E05000282 0.529411764706 0.2964
E05000283 0.56043956044 0.2936
E05000284 0.535714285714 0.2709
E05000285 0.52380952381 0.4647
E05000286 0.618556701031 0.3871
E05000287 0.465909090909 0.5151
E05000288 0.565656565657 0.461
E05000289 0.655555555556 0.3996
E05000290 0.488372093023 0.5019
E05000291 0.560975609756 0.3983
E05000292 0.576923076923 0.3997
E05000293 0.511904761905 0.4241
E05000294 0.558139534884 0.4161
E05000295 0.505747126437 0.4834
E05000296 0.645161290323 0.5084
E05000297 0.615384615385 0.3907
E05000298 0.545454545455 0.4577
E05000299 0.52808988764 0.5414
E05000300 0.638554216867 0.437
E05000301 0.56043956044 0.4682
E05000302 0.559523809524 0.4765
E05000303 0.613636363636 0.4299
E05000304 0.560975609756 0.5387
E05000305 0.512820512821 0.4231
E05000306 0.616071428571 0.6488
