CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F100,QS103EW0097,Age,Age 95,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F100,QS103EW0097,Unit,Persons,The unit is for a particular count (e.g. people or households),
F101,QS103EW0098,Age,Age 96,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F101,QS103EW0098,Unit,Persons,The unit is for a particular count (e.g. people or households),
F102,QS103EW0099,Age,Age 97,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F102,QS103EW0099,Unit,Persons,The unit is for a particular count (e.g. people or households),
F103,QS103EW0100,Age,Age 98,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F103,QS103EW0100,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104,QS103EW0101,Age,Age 99,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104,QS103EW0101,Unit,Persons,The unit is for a particular count (e.g. people or households),
F105,QS103EW0102,Age,Age 100 and over,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F105,QS103EW0102,Unit,Persons,The unit is for a particular count (e.g. people or households),
F172,QS103EW0017,Age,Age 15,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F172,QS103EW0017,Unit,Persons,The unit is for a particular count (e.g. people or households),
F52,QS103EW0049,Age,Age 47,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F52,QS103EW0049,Unit,Persons,The unit is for a particular count (e.g. people or households),
F53,QS103EW0050,Age,Age 48,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F53,QS103EW0050,Unit,Persons,The unit is for a particular count (e.g. people or households),
F54,QS103EW0051,Age,Age 49,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F54,QS103EW0051,Unit,Persons,The unit is for a particular count (e.g. people or households),
F55,QS103EW0052,Age,Age 50,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F55,QS103EW0052,Unit,Persons,The unit is for a particular count (e.g. people or households),
F56,QS103EW0053,Age,Age 51,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F56,QS103EW0053,Unit,Persons,The unit is for a particular count (e.g. people or households),
F57,QS103EW0054,Age,Age 52,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F57,QS103EW0054,Unit,Persons,The unit is for a particular count (e.g. people or households),
F58,QS103EW0055,Age,Age 53,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F58,QS103EW0055,Unit,Persons,The unit is for a particular count (e.g. people or households),
F59,QS103EW0056,Age,Age 54,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F59,QS103EW0056,Unit,Persons,The unit is for a particular count (e.g. people or households),
F60,QS103EW0057,Age,Age 55,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F60,QS103EW0057,Unit,Persons,The unit is for a particular count (e.g. people or households),
F61,QS103EW0058,Age,Age 56,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F61,QS103EW0058,Unit,Persons,The unit is for a particular count (e.g. people or households),
F62,QS103EW0059,Age,Age 57,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F62,QS103EW0059,Unit,Persons,The unit is for a particular count (e.g. people or households),
F63,QS103EW0060,Age,Age 58,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F63,QS103EW0060,Unit,Persons,The unit is for a particular count (e.g. people or households),
F64,QS103EW0061,Age,Age 59,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F64,QS103EW0061,Unit,Persons,The unit is for a particular count (e.g. people or households),
F65,QS103EW0062,Age,Age 60,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F65,QS103EW0062,Unit,Persons,The unit is for a particular count (e.g. people or households),
F66,QS103EW0063,Age,Age 61,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F66,QS103EW0063,Unit,Persons,The unit is for a particular count (e.g. people or households),
F67,QS103EW0064,Age,Age 62,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F67,QS103EW0064,Unit,Persons,The unit is for a particular count (e.g. people or households),
F68,QS103EW0065,Age,Age 63,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F68,QS103EW0065,Unit,Persons,The unit is for a particular count (e.g. people or households),
F69,QS103EW0066,Age,Age 64,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F69,QS103EW0066,Unit,Persons,The unit is for a particular count (e.g. people or households),
F70,QS103EW0067,Age,Age 65,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F70,QS103EW0067,Unit,Persons,The unit is for a particular count (e.g. people or households),
F71,QS103EW0068,Age,Age 66,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F71,QS103EW0068,Unit,Persons,The unit is for a particular count (e.g. people or households),
F72,QS103EW0069,Age,Age 67,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F72,QS103EW0069,Unit,Persons,The unit is for a particular count (e.g. people or households),
F73,QS103EW0070,Age,Age 68,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F73,QS103EW0070,Unit,Persons,The unit is for a particular count (e.g. people or households),
F74,QS103EW0071,Age,Age 69,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F74,QS103EW0071,Unit,Persons,The unit is for a particular count (e.g. people or households),
F75,QS103EW0072,Age,Age 70,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F75,QS103EW0072,Unit,Persons,The unit is for a particular count (e.g. people or households),
F76,QS103EW0073,Age,Age 71,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F76,QS103EW0073,Unit,Persons,The unit is for a particular count (e.g. people or households),
