CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F186,F187,F188,F189,F191,F192,
,,,,,Age : Age 16 and over - Qualification; highest level of : Total\ Highest level of qualification - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : No qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 1 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 2 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 3 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 4 qualifications and above - Unit : Persons,
456,95AA01,Aldergrove,Wards and Electoral Divisions,WED,3344,582,392,609,511,977,
457,95AA02,Balloo,Wards and Electoral Divisions,WED,1468,506,207,242,140,230,
458,95AA03,Ballycraigy,Wards and Electoral Divisions,WED,1436,565,210,219,163,167,
459,95AA04,Clady,Wards and Electoral Divisions,WED,2373,580,282,385,308,634,
460,95AA05,Cranfield,Wards and Electoral Divisions,WED,2083,513,243,298,260,546,
461,95AA06,Crumlin,Wards and Electoral Divisions,WED,3346,808,470,632,471,685,
462,95AA07,Drumanaway,Wards and Electoral Divisions,WED,1714,474,205,270,188,413,
463,95AA08,Farranshane,Wards and Electoral Divisions,WED,1347,497,191,225,130,164,
464,95AA09,Fountain Hill,Wards and Electoral Divisions,WED,1772,602,248,259,171,339,
465,95AA10,Greystone,Wards and Electoral Divisions,WED,1551,514,208,239,166,273,
466,95AA11,Massereene,Wards and Electoral Divisions,WED,4152,899,506,704,555,1090,
467,95AA12,Parkgate,Wards and Electoral Divisions,WED,2162,460,217,357,284,708,
468,95AA13,Randalstown,Wards and Electoral Divisions,WED,2528,665,279,432,280,627,
469,95AA14,Shilvodan,Wards and Electoral Divisions,WED,1852,435,162,289,217,540,
470,95AA15,Springfarm,Wards and Electoral Divisions,WED,3150,716,394,518,361,792,
471,95AA16,Steeple,Wards and Electoral Divisions,WED,1463,538,224,205,137,199,
472,95AA17,Stiles,Wards and Electoral Divisions,WED,1669,462,248,325,187,303,
473,95AA18,Templepatrick,Wards and Electoral Divisions,WED,2063,453,184,333,220,725,
474,95AA19,Toome,Wards and Electoral Divisions,WED,2006,635,227,322,230,416,
475,95BB01,Ballygowan,Wards and Electoral Divisions,WED,2837,612,362,498,447,678,
476,95BB02,Ballyrainey,Wards and Electoral Divisions,WED,2020,739,265,295,225,323,
477,95BB03,Ballywalter,Wards and Electoral Divisions,WED,3402,1086,462,518,369,622,
478,95BB04,Bradshaw's Brae,Wards and Electoral Divisions,WED,2614,640,263,409,287,774,
479,95BB05,Carrowdore,Wards and Electoral Divisions,WED,2759,687,334,441,357,661,
480,95BB06,Central,Wards and Electoral Divisions,WED,2484,974,319,374,265,325,
481,95BB07,Comber East,Wards and Electoral Divisions,WED,2445,730,307,353,315,482,
482,95BB08,Comber North,Wards and Electoral Divisions,WED,2102,640,333,331,251,331,
483,95BB09,Comber West,Wards and Electoral Divisions,WED,2507,526,259,402,347,732,
484,95BB10,Donaghadee North,Wards and Electoral Divisions,WED,2828,657,320,446,309,852,
485,95BB11,Donaghadee South,Wards and Electoral Divisions,WED,2480,786,335,401,257,431,
486,95BB12,Glen,Wards and Electoral Divisions,WED,2177,628,294,328,235,505,
487,95BB13,Gregstown,Wards and Electoral Divisions,WED,3448,871,483,632,433,703,
488,95BB14,Killinchy,Wards and Electoral Divisions,WED,2533,465,257,402,331,884,
489,95BB15,Kircubbin,Wards and Electoral Divisions,WED,2699,717,346,475,308,571,
490,95BB16,Lisbane,Wards and Electoral Divisions,WED,2571,528,272,381,318,848,
491,95BB17,Loughries,Wards and Electoral Divisions,WED,2711,690,388,476,367,532,
492,95BB18,Millisle,Wards and Electoral Divisions,WED,3308,887,363,582,454,736,
493,95BB19,Movilla,Wards and Electoral Divisions,WED,3719,776,504,726,551,824,
494,95BB20,Portaferry,Wards and Electoral Divisions,WED,2729,813,359,434,314,523,
495,95BB21,Portavogie,Wards and Electoral Divisions,WED,3671,1094,493,583,452,657,
496,95BB22,Scrabo,Wards and Electoral Divisions,WED,2238,708,402,371,237,335,
497,95BB23,Whitespots,Wards and Electoral Divisions,WED,2531,501,310,460,318,681,
498,95CC01,Abbey Park,Wards and Electoral Divisions,WED,2046,750,211,289,222,381,
499,95CC02,Ballymartrim,Wards and Electoral Divisions,WED,2140,634,226,344,261,496,
500,95CC03,Callan Bridge,Wards and Electoral Divisions,WED,2141,773,273,287,208,321,
501,95CC04,Carrigatuke,Wards and Electoral Divisions,WED,1879,659,230,230,222,348,
502,95CC05,Charlemont,Wards and Electoral Divisions,WED,2112,662,210,325,268,434,
503,95CC06,Demesne,Wards and Electoral Divisions,WED,2186,489,251,356,256,637,
504,95CC07,Derrynoose,Wards and Electoral Divisions,WED,2554,779,275,391,344,519,
505,95CC08,Downs,Wards and Electoral Divisions,WED,1988,679,257,284,206,395,
506,95CC09,Hamiltonsbawn,Wards and Electoral Divisions,WED,2630,627,278,419,374,661,
507,95CC10,Hockley,Wards and Electoral Divisions,WED,2101,562,202,333,216,603,
508,95CC11,Keady,Wards and Electoral Divisions,WED,1482,597,142,218,141,231,
509,95CC12,Killeen,Wards and Electoral Divisions,WED,2119,664,228,356,262,423,
510,95CC13,Killylea,Wards and Electoral Divisions,WED,1923,577,227,323,231,422,
511,95CC14,Laurelvale,Wards and Electoral Divisions,WED,2328,659,281,384,311,508,
512,95CC15,Loughgall,Wards and Electoral Divisions,WED,2228,673,254,340,234,544,
513,95CC16,Markethill,Wards and Electoral Divisions,WED,2155,779,246,318,258,385,
514,95CC17,Milford,Wards and Electoral Divisions,WED,2117,595,217,334,258,532,
515,95CC18,Observatory,Wards and Electoral Divisions,WED,1899,474,164,275,198,614,
516,95CC19,Poyntz Pass,Wards and Electoral Divisions,WED,2070,602,224,325,233,510,
517,95CC20,Rich Hill,Wards and Electoral Divisions,WED,2342,581,280,395,286,556,
518,95CC21,Tandragee,Wards and Electoral Divisions,WED,2289,689,294,344,270,486,
519,95CC22,The Mall,Wards and Electoral Divisions,WED,1466,517,169,202,152,261,
520,95DD01,Academy,Wards and Electoral Divisions,WED,1765,500,143,252,175,538,
521,95DD02,Ahoghill,Wards and Electoral Divisions,WED,3041,853,377,489,401,632,
522,95DD03,Ardeevin,Wards and Electoral Divisions,WED,2779,583,251,426,341,921,
523,95DD04,Ballee,Wards and Electoral Divisions,WED,1512,752,209,221,139,101,
524,95DD05,Ballykeel,Wards and Electoral Divisions,WED,1330,599,188,214,132,105,
525,95DD06,Ballyloughan,Wards and Electoral Divisions,WED,2216,618,189,342,250,587,
526,95DD07,Broughshane,Wards and Electoral Divisions,WED,2710,897,278,380,303,615,
527,95DD08,Castle Demesne,Wards and Electoral Divisions,WED,1842,766,244,204,119,235,
528,95DD09,Craigywarren,Wards and Electoral Divisions,WED,2059,619,189,302,264,517,
529,95DD10,Cullybackey,Wards and Electoral Divisions,WED,2297,833,274,323,286,376,
530,95DD11,Dunclug,Wards and Electoral Divisions,WED,1718,613,253,221,169,250,
