CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F104109,DC1117EW0059,Age,Age 18,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104109,DC1117EW0059,Sex,Males,The classification of a person as either male or female.,
F104109,DC1117EW0059,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104117,DC1117EW0060,Age,Age 18,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104117,DC1117EW0060,Sex,Females,The classification of a person as either male or female.,
F104117,DC1117EW0060,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104141,DC1117EW0062,Age,Age 19,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104141,DC1117EW0062,Sex,Males,The classification of a person as either male or female.,
F104141,DC1117EW0062,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104149,DC1117EW0063,Age,Age 19,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104149,DC1117EW0063,Sex,Females,The classification of a person as either male or female.,
F104149,DC1117EW0063,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104172,DC1117EW0065,Age,Age 20,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104172,DC1117EW0065,Sex,Males,The classification of a person as either male or female.,
F104172,DC1117EW0065,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104179,DC1117EW0066,Age,Age 20,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104179,DC1117EW0066,Sex,Females,The classification of a person as either male or female.,
F104179,DC1117EW0066,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104201,DC1117EW0068,Age,Age 21,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104201,DC1117EW0068,Sex,Males,The classification of a person as either male or female.,
F104201,DC1117EW0068,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104208,DC1117EW0069,Age,Age 21,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104208,DC1117EW0069,Sex,Females,The classification of a person as either male or female.,
F104208,DC1117EW0069,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104230,DC1117EW0071,Age,Age 22,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104230,DC1117EW0071,Sex,Males,The classification of a person as either male or female.,
F104230,DC1117EW0071,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104237,DC1117EW0072,Age,Age 22,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104237,DC1117EW0072,Sex,Females,The classification of a person as either male or female.,
F104237,DC1117EW0072,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104259,DC1117EW0074,Age,Age 23,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104259,DC1117EW0074,Sex,Males,The classification of a person as either male or female.,
F104259,DC1117EW0074,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104266,DC1117EW0075,Age,Age 23,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104266,DC1117EW0075,Sex,Females,The classification of a person as either male or female.,
F104266,DC1117EW0075,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104288,DC1117EW0077,Age,Age 24,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104288,DC1117EW0077,Sex,Males,The classification of a person as either male or female.,
F104288,DC1117EW0077,Unit,Persons,The unit is for a particular count (e.g. people or households),
F104295,DC1117EW0078,Age,Age 24,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F104295,DC1117EW0078,Sex,Females,The classification of a person as either male or female.,
F104295,DC1117EW0078,Unit,Persons,The unit is for a particular count (e.g. people or households),
