,,Mayoral Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assembly List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Constituency Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Winner,,,,Winning Majority,,,,Turnout,,,,% Con,,,,% Lab,,,,% Lib Dem,,,,% Green,,,,% UKIP,,,,% Others,,,,Winner,,,,Winning Majority,,,,Turnout,,,,% Con,,,,% Lab,,,,% Lib Dem,,,,% Green,,,,% UKIP,,,,% Others,,,,Winner,,,,Winning Majority,,,,Turnout,,,,% Con,,,,% Lab,,,,% Lib Dem,,,,% Green,,,,% UKIP,,,,% Others,,,
Codes,Names,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016
E09000001,City of London,LAB - Livingstone,CON - Johnson,CON - Johnson,CON - Goldsmith,137,568,965,96,38.3953680728,55.2726701242,48.5236517023,55.5449785816,31.6753926702,48.86981402,54.9718574109,40.4151052176,37.6527050611,32.6180257511,24.7967479675,37.6477371,18.1064572426,11.2446351931,5.8474046279,6.6301527818,3.5776614311,4.0629470672,6.191369606,7.0049005477,3.1413612565,0.8297567954,1.5634771732,2.0755260882,5.8464223386,2.3748211731,6.6291432145,6.2265782646,Con,Con,Con,Con,326,694,552,249,38.1803143093,54.8483419771,48.5236517023,55.5449785816,34.0848806366,43.0144927536,42.5773847126,35.8588779641,19.0097259063,22.8985507246,25.1421351864,28.6581839213,19.6728558798,11.7971014493,10.2653190145,10.3238866397,12.4668435013,12.8115942029,12.4763108023,10.2949681897,6.2334217507,1.5942028986,4.1692987997,4.3956043956,11.5826702034,9.4782608696,5.3695514845,10.4684788895,Con,Con,Con,Con,241,712,537,321,38.1803143093,54.895489549,48.5236517023,55.5449785816,33.8116591928,45.0638792102,43.9759036145,38.1818181818,20.5829596413,24.3902439024,26.9499048827,28.9177489177,23.0044843049,9.8432055749,10.4629042486,12.6695526696,10.0896860987,12.1660859466,12.3018389347,13.5353535354,8.1614349776,1.7421602787,3.2974001268,4.8773448773,4.3497757848,8.5365853659,3.0120481928,1.8181818182
E09000002,Barking and Dagenham,LAB - Livingstone,LAB - Livingstone,LAB - Livingstone,LAB - Khan,4995,1089,8959,12308,30.7406143345,38.7047063723,27.7219832146,36.2901957083,20.0127193363,34.5267136986,31.1900865092,23.2008736544,34.4520567745,36.9200676908,54.4644480815,50.6318393546,9.7736536293,6.7910595372,2.3302938197,2.4961554748,2.2519006735,1.4900771412,2.0990829501,3.2851189017,14.2976902842,1.5450209885,3.4188034188,10.9229089126,19.2119793022,18.7270609437,6.4972852207,9.4631037019,Lab,Lab,Lab,Lab,4030,3985,16035,16129,30.6843003413,38.6697209496,27.7219832146,36.2901957083,15.4607899256,18.7937580932,16.1103085337,14.7033684718,29.0383514596,33.5008669315,57.4760086678,51.3730303097,9.496279336,4.9009064372,2.4636260448,2.6605886607,4.585002862,3.0024361873,3.3071922402,3.4079204015,17.5042930738,2.9936571341,7.0890516975,16.0248964474,40.5724098454,39.8020323508,13.553812816,11.8301957089,Lab,Lab,Lab,Lab,1252,3865,16655,14416,30.6843003413,38.6697209496,27.7219832146,36.2901957083,15.9302325581,18.2764234797,16.0895445135,15.7916648407,31.4014687882,33.7146880225,59.1925465839,51.9216442438,11.9155446756,4.0746281792,3.1599378882,3.4423068496,6.0220318237,3.30678518,4.0579710145,5.4603619791,27.570379437,3.1725776643,6.0610766046,20.3339322494,7.1603427173,40.6274751386,11.4389233954,2.6162408519
E09000003,Barnet,CON - Norris,CON - Johnson,CON - Johnson,CON - Goldsmith,5110,24904,25604,15471,40.331445409,48.2071678052,43.5340702854,49.0252769343,38.9040113811,53.416028416,55.3895667211,48.3154223395,33.1798680423,30.3798053798,30.7916226343,34.6201511959,14.0168699802,9.0492840493,3.631472764,3.7701609334,2.8531101926,2.7592777593,3.7217792295,4.702299807,4.841437869,0.641950642,1.720626381,2.6724855266,6.204702535,3.7536537537,4.7449322702,5.9194801976,Con,Con,Con,Con,12614,22018,6242,12679,40.3393852777,48.0666657858,43.5340702854,49.0252769343,38.4684996704,45.8529592464,41.5218665053,43.3109793174,24.3757471483,25.356989928,35.5262273194,32.1377900367,14.9787167484,9.3459683875,5.7631905023,4.8952651198,7.3614354185,7.0420568577,7.2635410964,6.2435559629,6.5480912107,1.4503006721,4.5269861395,4.9587141007,11.3443641279,12.4020255804,5.3981884371,8.4536954625,Con,Con,Lab,Con,13640,23151,11450,1539,40.3393852777,48.0983778403,43.5340702854,49.0252769343,41.4847312026,49.2337628482,34.2455706952,42.2310546307,25.8197144924,27.6795024579,45.294707994,40.8747609521,15.0379566571,9.960151944,7.3696298298,4.9201998749,6.587575942,6.6289289438,7.8569498591,6.6131434463,7.0228429019,2.2335394012,5.233141622,5.360841096,4.047178804,6.497653806,0,0
E09000004,Bexley,CON - Norris,CON - Johnson,CON - Johnson,CON - Goldsmith,5845,31538,21446,17540,39.2928193606,47.3339386904,38.4856396867,44.0336007089,35.1535784074,59.5022819254,58.5860708015,49.7413444699,26.2304592086,20.7058591972,26.4027492234,26.112084063,14.8510014656,7.3808908735,2.8092501163,3.8825272801,1.8716414265,1.4552656506,2.3095277398,3.5888454803,12.9518808012,1.7505012855,4.0863184117,10.1589653779,8.9414386908,9.2052010678,5.8060837072,6.5162333288,Con,Con,Con,Con,9726,22296,11096,11285,39.2711697795,47.3011804462,38.4856396867,44.0336007089,34.5205854609,45.6633219102,44.4100771024,39.7785178349,19.7227885464,18.1787924361,27.830075907,24.6853642552,12.2706387122,6.9857745125,3.6339728647,4.5326271583,4.4746371299,3.7141589211,4.1928157313,4.2571119047,16.3938167544,4.0568526417,9.1237822007,17.3079752304,21.7782916958,25.4579522201,10.8092761939,9.4384036165,Con,Con,Con,Con,10499,25088,12605,12627,39.2711697795,47.29773221,38.4856396867,44.0336007089,37.8561673599,49.001727542,48.2133500995,43.2601922794,19.8476007201,18.0441757157,29.3438720977,26.3762418602,13.3170898256,6.9373149062,4.2873609677,4.3643948815,4.5036935874,3.2884995064,4.2170027395,4.8818644952,21.5624806009,4.6594274432,7.2828251074,20.1345153569,2.9129679061,22.7282823297,6.6555889882,0.9827911268
E09000005,Brent,LAB - Livingstone,LAB - Livingstone,LAB - Livingstone,LAB - Khan,10706,11844,15774,18728,35.9648366306,40.442146283,35.6034231986,43.4426345375,25.8705304978,32.9289340102,32.3225343143,30.0026773164,43.7418622509,47.9593908629,53.6956492284,50.8946699092,15.9049177044,10.5012690355,4.6664769725,3.9523883894,2.9446132274,3.0393401015,3.6814221644,4.6484906629,2.9345975361,0.8083756345,1.1842337032,1.7357934897,8.6034787834,4.7626903553,4.4496836172,8.7659802325,Lab,Lab,Lab,Lab,4636,9221,23662,21619,36.0740753517,40.4036770584,35.6034231986,43.4426345375,25.8585591102,26.0833153574,21.9931550397,25.3920951845,33.5313880935,37.7837556624,54.0021373591,49.2533359823,18.5266711905,12.8893908056,7.6769070519,5.2558966039,7.4063653366,7.2111053306,7.225085562,5.8640442369,4.0482613661,1.0151124872,2.6000027055,3.2217476243,12.8531470846,16.032432844,6.5027122817,11.0128803682,Lab,Lab,Lab,Lab,2459,8479,24904,23382,36.0740753517,40.404676259,35.6034231986,43.4426345375,28.4581762843,28.8751287365,20.1653633105,25.9724491148,32.8095415052,39.6559396814,53.9765938959,51.7815356086,20.0934331369,15.4445701789,12.5,7.6846659897,6.913698218,8.3179697135,8.8478874769,6.6437811824,4.2593477376,1.6084120586,4.5101553166,4.2242483112,7.465803118,7.7063916897,0,3.6933197934
E09000006,Bromley,CON - Norris,CON - Johnson,CON - Johnson,CON - Goldsmith,12693,49844,45978,31759,43.1363879542,51.838404127,37.8974141585,49.8343965462,38.2352324875,61.677674259,64.9966468105,52.896130916,24.936613373,19.9542954722,19.6516627875,25.1333111876,19.3868784444,9.4857822087,3.8226360014,5.2817455461,2.1331433481,2.2157488093,3.3127539548,5.1086595451,8.9118454414,1.2397143886,3.0444987968,6.3141423501,6.3962869057,5.4267848623,5.171801649,5.2660104551,Con,Con,Con,Con,19564,45071,32485,26601,43.1434622476,51.757717778,37.8974141585,49.8343965462,39.7698436733,51.4452809895,51.8243077074,44.3182608696,13.909629181,13.5730371067,19.8681815946,21.1869565217,19.3398147471,11.4034350632,6.7266735527,6.9956521739,5.9314334646,6.2970556601,6.8358664109,6.8869565217,11.7124925596,3.2602850229,7.5451281295,12.02,14.5560301166,17.2811911804,7.1998426049,8.592173913,Con,Con,Con,Con,18442,49829,35163,29042,43.1434622476,51.7568594126,37.8974141585,49.8343965462,42.1760572324,55.0424690943,55.5341741173,47.9099650502,12.7619269356,12.8685560508,20.83407346,22.660882266,22.6590610845,13.1376671432,8.4196814495,7.7211316096,5.4681877831,5.5470523926,6.3078532378,7.8541496409,13.5556449223,3.5699268354,5.8282511299,13.4122167933,3.3791220421,13.4042553191,3.0759666055,0.0504251361
E09000007,Camden,LAB - Livingstone,LAB - Livingstone,LAB - Livingstone,LAB - Khan,11117,7098,1119,16676,35.3235001107,47.3944249708,41.5906989882,46.6150857798,23.4013851977,34.3050546683,39.5334599626,27.2841301063,45.7840057985,44.4630488294,41.2900491343,51.0533367542,15.2472416848,11.1955463965,4.7941227258,5.1298497677,4.7213497624,5.6571641193,7.7468879017,8.4480743465,3.185149392,0.4894384338,1.2103040673,2.0339804441,7.6608681646,3.8897475528,5.4251762083,6.0506285812,Lab,Lab,Lab,Lab,1830,2435,9068,14419,35.3663936241,47.2829243866,41.5906989882,46.6150857798,22.7015643803,26.8195040465,27.67092341,23.6649659864,26.3718411552,30.3260274762,41.8970223714,44.1000566893,20.5294825511,14.3227441606,8.245740642,7.0195578231,14.8275170477,15.1075717865,14.549276772,12.0082199546,4.5888487766,1.0454768008,2.7501490383,3.5119047619,13.7845968712,13.4241525302,4.8868877663,9.6952947846,Lab,Lab,Lab,Lab,2121,3458,9849,17779,35.3663936241,47.272909364,41.5906989882,46.6150857798,24.0153458018,28.5991092602,28.1900980114,24.5667281237,28.4376889556,33.5993984614,43.7096215058,49.7815912637,21.9115531369,16.6507605992,9.7113233116,7.9719188768,12.895894581,13.9713112384,15.3824335823,13.461920295,5.3585204645,1.8494418416,3.0065235889,4.2178414409,7.3809970601,7.1794204407,0,0
E09000008,Croydon,LAB - Livingstone,CON - Johnson,CON - Johnson,CON - Goldsmith,515,16909,9697,746,37.2998680516,45.0176154124,38.6164491818,45.3212990221,33.4167695462,48.2064749913,47.6613999148,40.8249797158,34.0000679571,32.7336615362,37.8273127396,40.1741391194,14.0897713244,8.869713219,3.5657059408,3.922492388,2.5189430406,2.4889734815,3.3365109628,4.9772729256,7.3518252143,1.1621310005,2.5606961037,4.0786592335,8.6226229174,6.5390457715,5.0483743383,6.0224566179,Con,Con,Lab,Lab,10041,17752,2350,2798,37.3878336218,44.9543702034,38.6164491818,45.3212990221,35.0787343966,41.8540278452,36.3274967378,35.0310806365,23.77677476,25.5831645326,38.7046197109,37.4534656208,14.1046565289,8.8320211177,5.0314083695,4.9876196908,6.3403982306,6.0447467072,6.4738668204,6.3771578966,9.533671758,2.5333858831,5.8042262212,7.3320866448,15.5420235697,17.6860397973,7.6583821402,8.8185895105,Con,Con,Lab,Con,14877,22439,484,289,37.3878336218,44.9442347532,38.6164491818,45.3212990221,40.7095770856,45.9702095987,39.7663608314,39.3144934435,23.443665568,25.3512455549,40.2575917506,39.0643527935,14.5896197948,10.606742812,6.7300665801,4.5492707837,4.9254909243,5.8478135022,6.9421890224,7.6496299823,10.2444176222,4.7056337122,6.3037918155,7.9880555676,6.0872290052,12.2239885323,0,1.4341974294
