Borough,Ward,Geog level,Constituency,Area Code,Turnout,,,London Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London Member,,,,,,,,,,,,,,,,,,,Constituency Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1st choice,,,,,,,,,,,,,1st choice spoils,,,,,,2nd choice,,,,,,,,,,,,,2nd choice spoils,,,,Total Good,,,,,,,,,,,,,Spoils,,,,,,Total good,,,,,,,,,,,,,Spoils,,,,,,Candidate names,,,,,,,,,,,
,,,,,Turnout,Ward Level Electorate,% Turnout,Winner,Sadiq Aman Khan - Labour Party,Zac Goldsmith - The Conservative Party,Sian Rebecca Berry - Green Party,Caroline Valerie Pidgeon - London Liberal Democrats,Peter Robin Whittle - UK Independence Party (UKIP),David Furness - British National Party,George Galloway - Respect (George Galloway),Paul Golding - Britain First,Lee Harris - Cannabis is Safer than Alcohol,Ankit Love - One Love Party,Sophie Walker - Women's Equality Party,Prince Zylinski - Independent,Total Good,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many,Total spoils,Sadiq Aman Khan - Labour Party,Zac Goldsmith - The Conservative Party,Sian Rebecca Berry - Green Party,Caroline Valerie Pidgeon - London Liberal Democrats,Peter Robin Whittle - UK Independence Party (UKIP),David Furness - British National Party,George Galloway - Respect (George Galloway),Paul Golding - Britain First,Lee Harris - Cannabis is Safer than Alcohol,Ankit Love - One Love Party,Sophie Walker - Women's Equality Party,Prince Zylinski - Independent,Total Good,Unmarked,Uncertain,Voting for too many,Total spoils,Animal Welfare Party,Britain First,British National Party,Caroline Pidgeon's London Liberal Democrats,Christian Peoples Alliance,Conservative Party,Green Party,Labour Party,Respect (George Galloway),The House Party - Homes for Londoners,UK Independence Party (UKIP),Women's Equality Party,Total Good,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many,Total spoils,Labour Party,Conservative Party,Green Party,Liberal Democrats,UK Independence Party (UKIP),All People's Party,Respect (George Galloway),Take Back the City,National Front,The Socialist Party (SP-GB),Independent,Communist League,Total Good,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many,"Total 
spoils",Labour Party,Conservative Party,Green Party,Liberal Democrats,UK Independence Party (UKIP),All People's Party,Respect (George Galloway),Take Back the City,National Front,The Socialist Party (SP-GB),Independent,Communist League
Bexley,Barnehurst,Ward,Bexley & Bromley,E05000064,"2,758","6,886",40%,Zac Goldsmith - The Conservative Party,588,1510,87,100,266,22,19,64,12,1,35,3,2707,0,0,10,10,31,51,203,315,405,319,561,89,59,170,48,19,139,18,2345,358,3,1,362,24,79,31,117,16,1236,128,525,16,12,499,49,2732,0,0,19,2,5,26,562,1329,142,110,577,9,,,,,,,2729,0,0,23,0,5,28,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Belvedere,Ward,Bexley & Bromley,E05000065,"2,675","7,506",36%,Zac Goldsmith - The Conservative Party,957,975,125,93,271,29,35,68,15,8,36,8,2620,0,0,5,10,40,55,340,302,336,254,388,84,82,187,79,24,146,26,2248,352,20,0,372,32,100,29,100,44,737,117,964,30,16,426,48,2643,0,0,17,0,15,32,1047,796,146,96,506,52,,,,,,,2643,0,0,25,2,5,32,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Postal Votes - Bexley,Postal,Bexley & Bromley,E09000004 (Postal),"17,944","26,338",68%,Zac Goldsmith - The Conservative Party,4585,8950,487,669,1775,170,149,634,90,30,216,50,17805,1,0,23,24,72,120,1972,2437,2025,2252,3607,539,468,1583,220,170,970,162,16405,1374,20,6,1400,173,750,197,743,230,7451,542,4505,149,59,2773,279,17851,1,2,51,6,33,93,4853,8091,687,748,3264,214,,,,,,,17857,0,2,42,10,15,69,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Blackfen And Lamorbey,Ward,Bexley & Bromley,E05000066,"3,011","6,974",43%,Zac Goldsmith - The Conservative Party,613,1586,106,142,338,26,19,59,18,4,24,2,2937,0,0,9,16,48,73,212,314,394,361,732,94,57,144,44,24,139,31,2546,382,7,2,391,29,84,28,168,26,1216,146,533,19,7,678,42,2976,0,0,22,3,10,35,590,1295,148,155,775,10,,,,,,,2973,0,0,33,2,3,38,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Blendon And Penhill,Ward,Bexley & Bromley,E05000067,"3,050","6,993",44%,Zac Goldsmith - The Conservative Party,546,1802,85,113,305,28,17,53,10,1,20,1,2981,0,0,10,16,43,69,215,327,374,313,766,105,52,188,53,24,126,20,2563,418,0,0,418,24,68,35,131,27,1490,95,496,15,10,587,37,3015,0,0,25,0,10,35,523,1612,113,113,642,5,,,,,,,3008,0,0,39,0,3,42,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Brampton,Ward,Bexley & Bromley,E05000068,"3,311","6,902",48%,Zac Goldsmith - The Conservative Party,707,1779,115,137,352,36,28,49,9,7,25,4,3248,0,0,10,16,37,63,243,380,441,416,744,82,85,201,53,33,159,10,2847,393,8,0,401,34,78,43,167,27,1461,143,671,19,6,584,39,3272,0,0,30,2,7,39,694,1610,141,147,669,9,,,,,,,3270,0,0,30,2,9,41,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Christchurch,Ward,Bexley & Bromley,E05000069,"2,854","6,920",41%,Zac Goldsmith - The Conservative Party,702,1443,143,113,256,26,23,46,13,3,36,8,2812,0,0,7,6,29,42,242,338,390,335,558,86,55,163,55,37,171,21,2451,355,5,1,361,37,60,33,143,20,1175,156,629,22,4,484,63,2826,0,0,19,1,8,28,661,1292,193,146,528,6,,,,,,,2826,0,0,24,0,4,28,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Colyers,Ward,Bexley & Bromley,E05000070,"2,208","6,287",35%,Zac Goldsmith - The Conservative Party,581,999,62,78,295,19,9,72,19,5,22,10,2171,0,0,5,5,27,37,208,215,289,223,451,95,46,158,39,14,100,15,1853,307,11,0,318,35,71,22,79,27,792,89,558,12,5,453,31,2174,0,0,23,0,10,33,603,823,102,79,544,24,,,,,,,2175,0,0,30,0,3,33,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Cray Meadows,Ward,Bexley & Bromley,E05000072,"2,693","6,958",39%,Zac Goldsmith - The Conservative Party,661,1367,96,100,249,24,20,69,14,3,38,4,2645,0,0,7,6,35,48,229,261,415,302,538,81,49,166,56,26,143,13,2279,364,2,0,366,26,79,28,122,31,1122,139,594,20,5,439,51,2656,0,0,24,1,12,37,629,1208,166,116,526,14,,,,,,,2659,0,0,30,0,4,34,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Crayford,Ward,Bexley & Bromley,E05000071,"2,550","7,624",33%,Zac Goldsmith - The Conservative Party,687,1099,121,82,315,29,23,73,18,3,40,4,2494,0,0,8,9,38,55,243,260,370,253,491,100,68,159,53,18,141,16,2172,321,1,0,322,25,82,40,104,28,883,122,645,21,11,493,61,2515,0,0,10,2,23,35,679,969,143,99,606,25,,,,,,,2521,0,0,24,0,5,29,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Danson Park,Ward,Bexley & Bromley,E05000073,"2,806","6,768",41%,Zac Goldsmith - The Conservative Party,634,1459,128,90,272,23,23,59,19,5,32,5,2749,0,0,9,12,36,57,240,308,393,293,562,96,61,168,52,24,137,19,2353,395,1,0,396,36,83,32,122,22,1187,135,578,29,9,475,55,2763,0,1,30,1,11,43,619,1274,151,125,570,25,,,,,,,2764,0,0,38,0,4,42,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,East Wickham,Ward,Bexley & Bromley,E05000074,"2,698","6,842",39%,Zac Goldsmith - The Conservative Party,680,1220,83,122,343,36,19,77,14,1,41,4,2640,0,0,10,14,34,58,259,308,303,333,547,101,73,169,53,16,121,14,2297,337,5,1,343,28,76,49,155,28,966,105,622,18,12,556,51,2666,0,0,23,1,8,32,676,1050,116,141,666,17,,,,,,,2666,0,0,29,1,2,32,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Erith,Ward,Bexley & Bromley,E05000075,"2,269","6,800",33%,Sadiq Aman Khan - Labour Party,861,783,78,75,238,30,19,78,16,5,28,9,2220,0,0,9,9,31,49,298,242,280,196,350,103,71,107,51,24,99,17,1838,377,4,1,382,31,79,32,81,28,585,94,868,16,4,376,48,2242,0,0,13,0,14,27,905,647,106,83,456,48,,,,,,,2245,0,0,16,1,7,24,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Falconwood And Welling,Ward,Bexley & Bromley,E05000076,"3,000","6,991",43%,Zac Goldsmith - The Conservative Party,649,1513,104,138,319,48,32,76,14,3,38,5,2939,0,0,4,6,51,61,251,310,379,274,648,117,77,161,56,39,124,19,2455,480,3,1,484,32,100,58,157,33,1149,117,612,21,7,619,51,2956,0,0,29,2,13,44,673,1274,137,138,721,22,,,,,,,2965,0,0,28,2,5,35,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Lesnes Abbey,Ward,Bexley & Bromley,E05000077,"2,542","6,743",38%,Zac Goldsmith - The Conservative Party,813,1078,72,72,257,31,33,74,16,2,30,6,2484,0,0,11,10,37,58,295,269,327,242,446,94,64,139,48,23,115,16,2078,400,6,0,406,22,84,32,102,32,802,104,820,27,9,432,39,2505,0,0,26,0,11,37,859,881,106,99,531,30,,,,,,,2506,0,0,34,1,1,36,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Longlands,Ward,Bexley & Bromley,E05000078,"3,087","6,739",46%,Zac Goldsmith - The Conservative Party,720,1702,120,144,205,8,21,35,21,1,44,2,3023,0,0,5,5,54,64,236,300,465,446,617,75,62,144,45,28,189,26,2633,388,2,0,390,39,65,21,190,44,1378,164,606,20,11,457,73,3068,0,0,16,0,3,19,646,1566,180,179,487,13,,,,,,,3071,0,0,12,1,3,16,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,North End,Ward,Bexley & Bromley,E05000079,"1,986","6,801",29%,Sadiq Aman Khan - Labour Party,763,653,70,63,220,28,10,78,26,4,16,1,1932,0,0,8,10,36,54,284,200,208,148,247,75,62,114,46,23,95,13,1515,402,15,0,417,18,87,39,69,46,464,77,776,21,0,345,23,1965,0,0,11,2,8,21,822,491,95,72,425,62,,,,,,,1967,0,0,14,1,4,19,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
