,,,,,Turnout,,,London Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,London Member,,,,,,,,,,,,,,,,,,,,,Constituency Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1st Choice,,,,,,,,1st Choice spoils,,,,,,2nd Choice,,,,,,,,2nd Choice spoils,,,,,,,,,,,,,,,,,,,Spoils,,,,,,,,,,,,,,,,,,,,,,,Spoils,,,,,,Candidate names,,,,,,,,,,,,,,
Area Code,Geog level,Constituency,Borough,Ward,Turnout,Electorate,Turnout %,Winner,Siobhan Benita,Carlos Cortiglia - British National Party,Boris Johnson - The Conservative Party Candidate,Jenny Jones - Green Party,Ken Livingstone - The Labour Party Candidate,Brian Paddick - London Liberal Democrats,Lawrence James Webb - Fresh Choice for London,"TOTAL
Good",want of official mark,writing identifying voter,unmarked,uncertain,voting for too many,"TOTAL
Spoils",Siobhan Benita,Carlos Cortiglia - British National Party,Boris Johnson - The Conservative Party Candidate,Jenny Jones - Green Party,Ken Livingstone - The Labour Party Candidate,Brian Paddick - London Liberal Democrats,Lawrence James Webb - Fresh Choice for London,"TOTAL
Good",unmarked,uncertain,voting for too many,"TOTAL
Spoils",Winner,British National Party,Christian Peoples Alliance - Supporting Traditional Marriage,Conservative Party,"English Democrats - ""Putting England First!""",Green Party,Labour Party,London Liberal Democrats,National Front Putting Londoners First,The House Party - Homes For Londoners,Trade Unionist And Socialist Coalition,UK Independence Party,Rathy Alagaratnam,Ijaz Hayat,"TOTAL
Good",want of official mark,writing identifying voter,unmarked,uncertain,voting for too many,"TOTAL
Spoils",Winner,Labour,Conservative,Liberal Democrat,Green,UK Independence Party,British National Party,Residents' Association of London,Greenwich & Lewisham People Before Profit,Communities United Party,National Front,Independent1 (NE),The Socialist Party (GB),English Democrats,Independent2 (M&W),Communist League,"TOTAL
Good",want of official mark,writing identifying voter,unmarked,uncertain,voting for too many,"TOTAL
Spoils",Labour,Conservative,Liberal Democrat,Green,UK Independence Party,British National Party,Residents' Association of London,Greenwich & Lewisham People Before Profit,Communities United Party,National Front,Independent1 (NE),The Socialist Party (GB),English Democrats,Independent2 (M&W),Communist League
00AC (Postal),Postal,Barnet & Camden,Barnet,Postal votes - Barnet,33243,47990,69.3%,Boris Johnson - The Conservative Party Candidate,987,300,18974,938,9826,1341,628,32994,0,10,98,48,93,249,2665,664,3924,4537,3711,6268,2625,24394,8296,174,130,8600,Conservative Party,388,531,14939,375,1839,11117,1872,92,123,113,1312,63,143,32907,0,6,110,12,44,172,Labour,13745,12931,2174,2176,1708,,,,,,,,,,,32734,0,2,163,14,23,202,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACFX,Ward,Barnet & Camden,Barnet,BRUNSWICK PARK,3441,9689,35.5%,Boris Johnson - The Conservative Party Candidate,142,37,1743,136,1137,124,72,3391,0,0,16,19,15,50,388,96,408,525,345,572,252,2586,787,7,11,805,Conservative Party,53,66,1268,26,274,1217,202,7,9,28,225,6,11,3392,0,0,35,2,11,48,Labour,1380,1161,291,306,238,,,,,,,,,,,3376,0,0,49,1,11,61,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACFY,Ward,Barnet & Camden,Barnet,BURNT OAK,2642,9230,28.6%,Ken Livingstone - The Labour Party Candidate,60,55,729,64,1545,62,64,2579,0,0,24,22,17,63,247,115,274,332,523,266,202,1959,594,9,17,620,Labour Party,82,45,423,38,91,1639,76,11,10,6,159,4,12,2596,0,1,35,0,9,45,Labour,1885,360,96,95,149,,,,,,,,,,,2585,0,0,42,6,8,56,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACFZ,Ward,Barnet & Camden,Barnet,CHILDS HILL,3455,9621,35.9%,Boris Johnson - The Conservative Party Candidate,137,15,1870,133,1054,154,36,3399,0,1,17,2,34,54,380,40,386,539,405,654,167,2571,805,16,7,828,Conservative Party,27,51,1378,20,285,1131,325,9,17,25,105,3,14,3390,0,0,45,2,15,62,Labour,1367,1180,426,300,111,,,,,,,,,,,3384,0,0,60,5,6,71,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGA,Ward,Barnet & Camden,Barnet,COLINDALE,2787,9312,29.9%,Ken Livingstone - The Labour Party Candidate,77,54,700,50,1710,79,58,2728,0,0,20,10,29,59,252,90,311,307,464,276,158,1858,831,16,23,870,Labour Party,75,61,409,14,118,1810,93,8,6,15,120,9,15,2753,0,0,21,3,10,34,Labour,2021,383,87,131,127,,,,,,,,,,,2749,0,0,23,6,9,38,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGB,Ward,Barnet & Camden,Barnet,COPPETTS,3431,9766,35.1%,Boris Johnson - The Conservative Party Candidate,156,30,1425,242,1338,114,54,3359,0,0,23,20,29,72,332,103,372,759,474,570,195,2805,539,8,7,554,Labour Party,54,49,955,32,417,1510,179,8,14,25,139,5,6,3393,0,0,27,2,8,37,Labour,1674,831,257,441,169,,,,,,,,,,,3372,0,0,47,0,7,54,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGC,Ward,Barnet & Camden,Barnet,EAST BARNET,3319,9403,35.3%,Boris Johnson - The Conservative Party Candidate,151,42,1718,165,981,112,96,3265,0,0,10,12,32,54,331,132,289,598,375,502,287,2514,731,8,12,751,Conservative Party,73,89,1184,46,309,1106,164,9,9,21,251,5,3,3269,0,0,33,3,13,49,Labour,1304,1021,303,348,292,,,,,,,,,,,3268,0,0,45,3,1,49,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
